,Non-animal disturbances,Aerial,Terrestrial,Alarm alert & vigilance,Predator
Macaca mulatta,,,,1,1
Macaca sylvanus,,,,1,
Theropithecus gelada,,,,1,
Cercocebus torquatus atys,,,,1,1
Cercocebus torquatus atys,,1,,1,1
Cercocebus torquatus atys,,,1,1,1
Cercocebus torquatus atys,,,1,1,1
Mandrillus sphinx,,,,1,
Mandrillus sphinx,,,,1,
Cercopithecus mitis stuhlmanni,,,,1,
Cercopithecus mitis stuhlmanni,,,,1,1
Cercopithecus mitis stuhlmanni,,1,,1,1
Cercopithecus mitis stuhlmanni,,,,1,1
Cercopithecus mitis stuhlmanni,1,,,1,
Cercopithecus neglectus,,,,1,
Cercopithecus neglectus,,,,1,
Cercopithecus neglectus,,,,1,1
Cercopithecus neglectus,,,,1,
Cercopithecus neglectus,,,,1,
Pan troglodytes verus,,,,1,
Pan troglodytes verus,,,1,1,1
Pan paniscus,,,,1,
Pan paniscus,1,,,1,
Pan paniscus,,,,1,
Gorilla gorilla,,,,1,
Gorilla gorilla,,,1,1,1
Callithrix jacchus,,,,1,
Callithrix jacchus,,1,,1,1
Callithrix jacchus,,,1,1,1
Callithrix jacchus,,,,1,
Callithrix jacchus,,,1,1,1
Cebus capucinus,,,,1,
Cebus capucinus,,,,1,
Cebus capucinus,,,,1,1
Cebus capucinus,,,,1,1
Lagothrix lagotricha,,,,1,
Lagothrix lagotricha,,,,1,
Lagothrix lagotricha,,,,1,
Lemur catta,,,,1,1
Lemur catta,,,,1,1
Lemur catta,,,,1,1
Lemur catta,1,,,1,
Lemur catta,,1,,1,1
Lemur catta,,,1,1,1
Lemur catta,,,1,1,1
Lemur catta,,1,,1,1
Lemur catta,,1,,1,1
Lemur catta,,,,1,
Lemur catta,,,,1,
