species,Non_disturbance,Calm,Rest,short_rest,long_rest
Macaca mulatta,,,,,
Macaca sylvanus,1,,,,
Macaca sylvanus,1,,1,,
Theropithecus gelada,,,,,
Cercocebus torquatus atys,,,,,
Mandrillus sphinx,,,,,
Cercopithecus mitis stuhlmanni,1,,,,
Cercopithecus mitis stuhlmanni,1,,,,
Cercopithecus mitis stuhlmanni,1,,,,
Cercopithecus neglectus,,,,,
Pan troglodytes verus,1,,1,1,
Pan troglodytes verus,1,,1,,1
Pan paniscus,,,,,
Gorilla gorilla,1,,1,,
Callithrix jacchus,1,,1,,
Callithrix jacchus,1,,1,,
Cebus capucinus,1,,1,,
Lagothrix lagotricha,,,,,
Lemur catta,1,1,,,
